date,close
29,26.70
59,26.69
90,26.63
120,26.70
150,26.68
180,26.70
210,26.66
240,26.70
270,26.70
300,26.69
330,26.69
360,26.70
390,26.67
420,26.78
450,26.56
480,26.10
510,25.74
541,25.44
571,25.22
601,25.14
631,27.56
661,26.69
691,25.58
722,25.19
752,25.05
782,24.95
812,24.87
842,24.79
872,24.76
903,24.67
933,24.63
963,24.60
993,24.60
1023,24.60
1053,24.60
1084,24.60
1114,24.57
1144,24.52
1174,24.50
1204,24.49
1234,24.41
1265,24.42
1295,24.43
1325,24.40
1355,24.40
1385,24.40
1415,24.40
1446,24.39
1476,24.39
1506,24.32
1536,24.33
1566,24.30
1596,24.29
1627,24.25
1657,24.26
1687,24.30
1717,24.30
1747,24.30
1777,24.26
1808,24.20
1838,24.19
1868,24.16
1898,24.11
1928,24.10
1958,24.10
1989,24.09
2019,24.09
2049,24.08
2079,24.08
2109,24.05
2139,24.08
2170,24.05
2200,24.00
2230,24.00
2260,24.00
2290,24.00
2320,24.00
2351,24.00
2381,23.99
2411,23.99
2441,23.97
2471,23.98
2501,24.00
2532,24.00
2562,24.00
2592,23.99
2622,23.97
2652,23.92
2682,23.96
2713,23.95
2743,23.94
2773,23.97
2803,23.97
2833,23.95
2863,23.90
2894,23.90
2924,23.90
2954,23.90
2984,23.90
3014,23.89
3044,23.89
3075,23.89
3105,23.89
3135,23.89
3165,23.87
3195,23.86
3225,23.86
3256,23.87
3286,23.83
3316,23.80
3346,23.80
3376,23.79
3406,23.79
3437,23.80
3467,23.80
3497,23.74
3527,23.70
3557,23.70
3588,23.73
3618,23.72
3648,23.70
3678,23.69
3708,23.63
3738,23.60
3769,23.60
3799,23.60
3829,23.60
3859,23.63
3889,23.69
3919,23.69
3950,23.65
3980,23.60
4010,23.60
4040,23.60
4070,23.60
4100,23.61
4131,23.67
4161,23.69
4191,23.65
4221,23.60
4251,23.60
4281,23.60
4312,23.61
4342,23.63
4372,23.60
4402,23.60
4432,23.60
4462,23.60
4493,23.59
4523,23.59
4553,23.59
4583,23.60
4613,23.62
4643,23.69
4674,23.67
