date,close
29,101107.73
59,101112.14
90,101115.74
120,101115.56
150,101117.53
180,101118.92
210,101120.54
240,101118.13
270,101119.39
300,101118.95
330,101118.23
360,101120.25
390,101117.97
420,101064.00
450,101124.67
480,101117.35
510,101116.12
541,101116.30
571,101120.85
601,101131.23
631,101131.74
661,101115.38
691,101111.99
722,101119.73
752,101124.76
782,101125.13
812,101127.57
842,101121.62
872,101125.39
903,101126.30
933,101132.17
963,101137.53
993,101134.75
1023,101131.42
1053,101135.78
1084,101135.92
1114,101139.74
1144,101140.09
1174,101135.53
1204,101143.68
1234,101136.95
1265,101139.97
1295,101140.39
1325,101135.01
1355,101137.15
1385,101140.50
1415,101139.42
1446,101137.38
1476,101132.12
1506,101130.35
1536,101125.60
1566,101131.84
1596,101133.68
1627,101138.17
1657,101132.47
1687,101138.73
1717,101138.91
1747,101141.38
1777,101140.62
1808,101138.85
1838,101135.93
1868,101133.89
1898,101142.60
1928,101138.10
1958,101140.33
1989,101139.30
2019,101138.14
2049,101135.07
2079,101136.75
2109,101146.52
2139,101141.80
2170,101151.46
2200,101137.85
2230,101152.35
2260,101152.49
2290,101140.60
2320,101149.67
2351,101155.50
2381,101156.07
2411,101148.72
2441,101152.73
2471,101155.18
2501,101155.01
2532,101157.13
2562,101155.92
2592,101162.01
2622,101162.47
2652,101162.84
2682,101161.43
2713,101159.12
2743,101166.11
2773,101168.97
2803,101161.74
2833,101165.75
2863,101165.78
2894,101170.82
2924,101176.02
2954,101171.34
2984,101166.93
3014,101173.18
3044,101172.27
3075,101176.49
3105,101173.90
3135,101176.33
3165,101173.18
3195,101175.37
3225,101176.00
3256,101175.12
3286,101179.59
3316,101179.78
3346,101183.79
3376,101177.32
3406,101174.00
3437,101175.03
3467,101175.77
3497,101179.73
3527,101180.22
3557,101171.04
3588,101173.60
3618,101179.75
3648,101184.84
3678,101186.96
3708,101185.32
3738,101186.64
3769,101188.59
3799,101185.32
3829,101189.95
3859,101184.57
3889,101189.26
3919,101188.32
3950,101199.85
3980,101200.50
4010,101202.28
4040,101197.14
4070,101199.87
4100,101204.42
4131,101201.10
4161,101202.31
4191,101200.85
4221,101201.61
4251,101197.84
4281,101196.39
4312,101203.30
4342,101206.28
4372,101206.28
4402,101213.30
4432,101199.50
4462,101204.02
4493,101206.84
4523,101204.40
4553,101208.07
4583,101209.87
4613,101202.29
4643,101215.60
4674,101218.92
