date,close
29,18.13
59,17.79
90,17.49
120,17.50
150,17.34
180,17.22
210,17.09
240,17.26
270,17.17
300,17.20
330,17.25
360,17.10
390,17.31
420,21.73
450,16.77
480,17.37
510,17.46
541,17.45
571,17.10
601,16.22
631,16.15
661,17.53
691,17.80
722,17.20
752,16.73
782,16.68
812,16.46
842,16.97
872,16.68
903,16.62
933,16.07
963,15.69
993,15.88
1023,16.22
1053,15.81
1084,15.80
1114,15.45
1144,15.45
1174,15.87
1204,15.14
1234,15.72
1265,15.49
1295,15.42
1325,15.90
1355,15.70
1385,15.46
1415,15.46
1446,15.73
1476,16.13
1506,16.27
1536,16.65
1566,16.16
1596,15.96
1627,15.63
1657,16.10
1687,15.61
1717,15.57
1747,15.39
1777,15.43
1808,15.57
1838,15.79
1868,15.99
1898,15.25
1928,15.63
1958,15.39
1989,15.51
2019,15.64
2049,15.84
2079,15.85
2109,14.95
2139,15.36
2170,14.54
2200,15.57
2230,14.45
2260,14.44
2290,15.41
2320,14.66
2351,14.17
2381,14.10
2411,14.69
2441,14.47
2471,14.24
2501,14.20
2532,14.01
2562,14.21
2592,13.58
2622,13.59
2652,13.58
2682,13.74
2713,13.91
2743,13.33
2773,13.08
2803,13.64
2833,13.30
2863,13.26
2894,12.86
2924,12.47
2954,12.87
2984,13.23
3014,12.69
3044,12.78
3075,12.41
3105,12.61
3135,12.43
3165,12.71
3195,12.50
3225,12.46
3256,12.50
3286,12.13
3316,12.14
3346,11.81
3376,12.38
3406,12.62
3437,12.54
3467,12.47
3497,12.12
3527,12.07
3557,12.84
3588,12.59
3618,12.08
3648,11.71
3678,11.56
3708,11.68
3738,11.54
3769,11.35
3799,11.72
3829,11.31
3859,11.77
3889,11.34
3919,11.41
3950,10.47
3980,10.41
4010,10.27
4040,10.68
4070,10.45
4100,10.12
4131,10.36
4161,10.23
4191,10.37
4221,10.30
4251,10.63
4281,10.76
4312,10.19
4342,9.87
4372,9.89
4402,9.33
4432,10.42
4462,10.10
4493,9.89
4523,10.08
4553,9.75
4583,9.58
4613,10.21
4643,9.10
4674,8.84
